labno,unitno,serialno,regno,custid,cust_name,modelid,makeid,make,compartid,compart,compartsn,oiltypeid,oilgradeid,coolantid,notesos,label,last_interpret_date,sampledate,processdate,oiladded,oilhours,actual_fluid_hours,meterread,oilchanged,filterchanged,evalcode,Job Site,Sampled Site,dateReported,Confirmed,Problem Solved,Action Taken,jobno,Customer Groups,Market Status,Report Logo,Region,cmu,interpreter,EC,pH,Prec,Soln,NO2,NO3,Cl-,GLY,SO4,Odour,SolInt,SolCol,SolApp,SolCon,PptAmt,PptCol,PptMag,PptApp,OdrOdr,SolFoam,SolOil,SolFuel,S,Cu,Fe,Cr,Pb,Al,Si,Sn,Ni,Na,K,Mo,Ca,Mg,P,Zn,V40,V100,F,WAT,UST,UOXI,USUL,UNIT,PQ,DEP,TAN,Ti,Sb,V,B,Ag,Mn,Cd,Ba,Be,Bi,Li,TH,ISO,PC4,PC6,PC10,PC14,PC50,S_%,GLO,As,Co,In,Ga,Frp,La,Lu,APP,RI,Sc,Se,W,COL,Y,API,FP,TBN,VI,TDS
10204705191,213084,ARN213-084,,0,,Unknown,,Renk,07BA347,Angular Gearbox,,SAE,SAE 15W40,,Lack of information regarding time on oil limits accuracy of diagnosis. All wear levels appear within acceptable limits for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Viscosity within specified operating range.Action: Resample at next recommended interval to monitor and establish wear trend. ,,2020-01-22 00:00:00,2020-01-13 00:00:00,2020-01-20 00:00:00,,,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,0.99,3,2,5,1,0.99,4,1,4,3052,11,1123,1181,98,,,99.9,,53.3,,,9.9,,,,,,4.99,,,,,,,,,22/16/11,22,16,,11,,,,,,,,,,,,,,,,,,,,,,
10204758370,213086,ARN213-086,,537756,POC Andrew Gorine,Unknown,,Renk,07E7B6A,Angular Gearbox,,Nycolube 294,SAE 5W30,,All wear levels appear within acceptable limits for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Viscosity within specified operating range.Action: Resample at next recommended interval to monitor and establish wear trend. ,,2020-05-19 00:00:00,2020-05-11 00:00:00,2020-05-15 00:00:00,0,173,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,0.99,3,3,7,0.99,0.99,4,3,4,3124,11,1148,1174,51,,,99.9,,52.5,,,209,,,,,,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204765212,213085,ARN213-085,,537756,POC Andrew Gorine,Unknown,,Renk,075939F,Angular Gearbox,,Nycolube 294,SAE 5W30,,All wear rates normal. Abrasive and other contaminant levels are acceptable. Viscosity within specified operating range.Action: Resample next recommended service interval to further monitor. ,,2020-06-02 00:00:00,2020-05-05 00:00:00,2020-05-29 00:00:00,0,6033,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,50,1,4,7,9,0.99,0.99,6,3,2,3217,9,1160,1172,40,,,99.9,,60.5,,,25,,,,,,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204751634,213083,ARN213-083,,537756,POC Andrew Gorine,Unknown,,Renk,079CBDB,Angular Gearbox,,Nycolube 294,SAE 5W30,,All wear rates normal. Abrasive and other contaminant levels are acceptable. Viscosity within specified operating range.Action: Resample next recommended service interval to further monitor. Note: This is an amended report following changes to sample information (compartment). This report supersedes any previous report(s) with this reference. Amendment 1. ,,2020-05-05 00:00:00,2020-04-27 00:00:00,2020-05-04 00:00:00,0,6313,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,27,0.99,3,6,6,1,0.99,4,1,3,3143,11,1173,1171,41,,,99.9,,57.1,,,24,,,,,,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204779282,213084,ARN213084,,0,,Unknown,,Renk,07BA347,Angular Gearbox,,Nycolube 294,SAE 5W30,,All wear rates normal. Abrasive and other contaminant levels are acceptable. Viscosity within specified operating range.Action: Resample next recommended service interval to further monitor.  Note: This is an amended report following changes to sample identification and diagnosis. This report supersedes any previous report(s) with this reference. Amendment 1.,,2020-06-30 00:00:00,2020-04-27 00:00:00,2020-06-26 00:00:00,,89,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,13,0.99,3,3,5,0.99,0.99,4,1,4,3194,11,1159,1125,46,,,99.9,,46.8,,,16,,,,,,4.99,,,,,,,,,23/19/13,23,19,,13,,,,,,,,,,,,,,,,,,,,,,
10204701315,213083,ARN213-083,,0,,Unknown,,Renk,079CBDB,Angular Gearbox,,Nycolube 294,SAE 5W30,,All wear levels appear within acceptable limits for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Viscosity within specified operating range.Action: Resample at next recommended interval to monitor and establish wear trend. Note: This is an amended report following changes to sample information. This report supersedes any previous report(s) with this reference. Amendment 1. ,,2020-02-18 00:00:00,2020-01-07 00:00:00,2020-01-13 00:00:00,,1498,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,0.99,3,4,6,0.99,0.99,3,1,3,3017,11,1075,1099,51,,,99.9,,55.1,,,9.9,,,,,,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204701316,213085,ARN213-085,,0,,Unknown,,Renk,075939F,Angular Gearbox,,Nycolube 294,SAE 5W30,,All wear levels appear within acceptable limits for first sample. Silicon level (dirt/sealant material) satisfactory. Water content acceptable. Viscosity within specified operating range.Action: Resample at next recommended interval to monitor and establish wear trend. Note: This is an amended report following changes to sample information. This report supersedes any previous report(s) with this reference. Amendment 1. ,,2020-02-18 00:00:00,2020-01-07 00:00:00,2020-01-13 00:00:00,,644,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11,0.99,3,4,9,0.99,0.99,5,3,2,2872,9,1031,1068,48,,,99.9,,58.9,,,9.9,,,,,,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204880044,213085,ARN213-085,,537756,POC Andrew Gorine,Unknown,,ZF,075955D,Hub Axle 3 Right,,SAE,SAE 80W90,,"Bearing/bushing and shaft/gear wear indicated. Heavy concentration of water present. Other contaminant levels acceptable. Viscosity within specified operating range.Action: Check all water access points (breathers/seals). Check for any abnormal vibrations and/or noise. Advise inspect filter/strainer/magnetic plug for abnormal wear metal (if applicable). As oil already changed and if visible metal/debris was acceptable, resample at a reduced service interval to further monitor. ",,2021-02-01 00:00:00,2021-01-21 00:00:00,2021-01-29 00:00:00,0,8233,,,Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1331,13,1,3,9,5,8,5,1,0.99,79,8,2021,132,119,,,1000,,7.5,,,104,,,,,,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204751628,213085,ARN213-085,,537756,POC Andrew Gorine,Unknown,,ZF,075955D,Hub Axle 3 Right,,SAE,SAE 80W90,,Bearing/bushing and shaft/gear wear indicated. PQ Index number (ferrous material) at a severe level. Other contaminant levels acceptable. Viscosity slightly lower than typical.Action: Check for any abnormal vibrations and/or noise. Advise inspect filter/strainer/magnetic plug for abnormal wear metal (if applicable). Resample at a reduced service interval to further monitor.  ,,2020-05-04 00:00:00,2020-04-15 00:00:00,2020-05-04 00:00:00,0,6033,,,Not Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,732,12,1,2,6,6,5,19,0.99,0.99,82,5,1957,114,115,,,99.9,,7.4,,,3375,,,,,,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003739678,213083,ARN213-083,,0,,Unknown,,ZF,079CBDD,Hub Axle 1 Right,,See Comments,-,,"All wear rates normal. Abrasive and other contaminant levels are acceptable. Please check recorded viscosity against requirements.Action: Resample next recommended service interval to further monitor. Note: Sample Information Form states, Fluid type: Shell Spirax 80W90. ",,2021-10-15 00:00:00,2021-10-06 00:00:00,2021-10-14 00:00:00,0,0,,,Changed,Not Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,1,0.99,0.99,2,0.99,0.99,7,1,0.99,134,1,2153,105,110,,,99.9,,4.9,,,139,,,,,,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
